Temp,cmp1,cmp2,cmp3,cmp4,cmp5,cmp6,cmp7,cmp8,cmp9,cmp10,cmp11,cmp12,cmp13
434.96,115356.3,70530.68,65737.66,8133.16,36679.84,7320.8,11883.84,2369.07,7517,6556.26,2426.2,9798.38,828.04
435.06,115617.01,70731.88,65917.48,8162.9,36796.74,7346.13,11925.34,2379.28,7544.78,6580.4,2435.74,9835.13,831.67
435.16,115878.17,70933.56,66097.7,8192.74,36913.93,7371.53,11966.98,2389.53,7572.64,6604.63,2445.31,9871.99,835.31
435.26,116139.78,71135.72,66278.32,8222.67,37031.41,7397,12008.73,2399.82,7600.6,6628.93,2454.91,9908.97,838.97
435.36,116401.84,71338.35,66459.35,8252.69,37149.19,7422.55,12050.62,2410.14,7628.65,6653.31,2464.55,9946.07,842.63
435.46,116664.36,71541.45,66640.78,8282.8,37267.27,7448.17,12092.63,2420.51,7656.78,6677.77,2474.22,9983.28,846.32
435.56,116927.32,71745.04,66822.61,8313.01,37385.64,7473.87,12134.77,2430.91,7685.01,6702.3,2483.92,10020.62,850.02
435.66,117190.74,71949.1,67004.84,8343.3,37504.31,7499.65,12177.03,2441.36,7713.33,6726.91,2493.66,10058.07,853.73
435.76,117454.61,72153.64,67187.49,8373.7,37623.27,7525.5,12219.43,2451.84,7741.74,6751.6,2503.43,10095.64,857.46
435.86,117718.94,72358.67,67370.53,8404.18,37742.53,7551.43,12261.95,2462.36,7770.24,6776.37,2513.24,10133.33,861.2
435.96,117983.72,72564.17,67553.99,8434.76,37862.09,7577.43,12304.6,2472.91,7798.84,6801.21,2523.08,10171.14,864.95
436.06,118248.95,72770.15,67737.85,8465.43,37981.95,7603.51,12347.38,2483.51,7827.52,6826.13,2532.95,10209.06,868.72
436.16,118514.64,72976.62,67922.12,8496.19,38102.11,7629.67,12390.29,2494.15,7856.3,6851.14,2542.86,10247.11,872.5
436.26,118780.79,73183.57,68106.8,8527.05,38222.57,7655.9,12433.32,2504.83,7885.17,6876.22,2552.8,10285.28,876.3
436.36,119047.39,73391.01,68291.88,8558,38343.32,7682.21,12476.49,2515.54,7914.13,6901.38,2562.78,10323.57,880.11
